month,gid,gcode,game_date_local,tip_local_time,tip_away_local_time,tip_et_time,arena,city,state,status_code,status_text,visitor_abbr,visitor_team,visitor_city,home_abbr,home_team,home_city,utc_date,utc_time,seq,broadcasters_tv,broadcasters_radio,broadcasters_ott,broadcasters_natltv
February,0022500758,20260208/MIAWAS,2026-02-08,2026-02-08T14:00:00,2026-02-08T14:00:00,2026-02-08T14:00:00,Capital One Arena,Washington,DC,1,2:00 pm ET,MIA,Heat,Miami,WAS,Wizards,Washington,2026-02-08,19:00,2,"FanDuel Sports Network - Sun, Monumental Sports Network","FM 104.3 WQAM, 560 AM   / S: WAQI 710",,
February,0022500759,20260208/INDTOR,2026-02-08,2026-02-08T15:00:00,2026-02-08T15:00:00,2026-02-08T15:00:00,Scotiabank Arena,Toronto,ON,1,3:00 pm ET,IND,Pacers,Indiana,TOR,Raptors,Toronto,2026-02-08,20:00,3,"FanDuel Sports Network - Indiana, SN, SN","93.5/107.5 The Fan, TSN Radio 1050",,
February,0022500760,20260208/LACMIN,2026-02-08,2026-02-08T14:00:00,2026-02-08T12:00:00,2026-02-08T15:00:00,Target Center,Minneapolis,MN,1,3:00 pm ET,LAC,Clippers,LA,MIN,Timberwolves,Minnesota,2026-02-08,20:00,4,"ESPN, FanDuel Sports Network - North, FanDuel Sports Network - SoCal",,,ESPN
February,0022500761,20260209/DETCHA,2026-02-09,2026-02-09T19:00:00,2026-02-09T19:00:00,2026-02-09T19:00:00,Spectrum Center,Charlotte,NC,1,7:00 pm ET,DET,Pistons,Detroit,CHA,Hornets,Charlotte,2026-02-10,00:00,1,"FanDuel Sports Network - Detroit, FanDuel Sports Network - Southeast - Charlotte","97.1 FM The Ticket, WFNZ 610 AM/102.5 FM",,
February,0022500762,20260209/CHIBKN,2026-02-09,2026-02-09T19:30:00,2026-02-09T18:30:00,2026-02-09T19:30:00,Barclays Center,Brooklyn,NY,1,7:30 pm ET,CHI,Bulls,Chicago,BKN,Nets,Brooklyn,2026-02-10,00:30,2,"Chicago Sports Network, YES",,,
February,0022500763,20260209/UTAMIA,2026-02-09,2026-02-09T19:30:00,2026-02-09T17:30:00,2026-02-09T19:30:00,Kaseya Center,Miami,FL,1,7:30 pm ET,UTA,Jazz,Utah,MIA,Heat,Miami,2026-02-10,00:30,3,"FanDuel Sports Network - Sun, KJZZ","FM 104.3 WQAM, 560 AM   / S: WAQI 710, KZNS / KSL / S: KTUB",Jazz+,
February,0022500764,20260209/MILORL,2026-02-09,2026-02-09T19:30:00,2026-02-09T18:30:00,2026-02-09T19:30:00,Kia Center,Orlando,FL,1,7:30 pm ET,MIL,Bucks,Milwaukee,ORL,Magic,Orlando,2026-02-10,00:30,4,Peacock,,,Peacock
February,0022500765,20260209/ATLMIN,2026-02-09,2026-02-09T19:00:00,2026-02-09T20:00:00,2026-02-09T20:00:00,Target Center,Minneapolis,MN,1,8:00 pm ET,ATL,Hawks,Atlanta,MIN,Timberwolves,Minnesota,2026-02-10,01:00,5,"FanDuel Sports Network - North, FanDuel Sports Network - Southeast - Atlanta",WZGC,,
February,0022500766,20260209/SACNOP,2026-02-09,2026-02-09T19:00:00,2026-02-09T17:00:00,2026-02-09T20:00:00,Smoothie King Center,New Orleans,LA,1,8:00 pm ET,SAC,Kings,Sacramento,NOP,Pelicans,New Orleans,2026-02-10,01:00,6,"GCSEN, NBCSCA",Sactown Sports 1140 AM,Pelicans+,
February,0022500767,20260209/CLEDEN,2026-02-09,2026-02-09T19:00:00,2026-02-09T21:00:00,2026-02-09T21:00:00,Ball Arena,Denver,CO,1,9:00 pm ET,CLE,Cavaliers,Cleveland,DEN,Nuggets,Denver,2026-02-10,02:00,7,"Altitude, FanDuel Sports Network - Ohio",Altitude Sports Radio 92.5 FM,,
February,0022500768,20260209/MEMGSW,2026-02-09,2026-02-09T19:00:00,2026-02-09T21:00:00,2026-02-09T22:00:00,Chase Center,San Francisco,CA,1,10:00 pm ET,MEM,Grizzlies,Memphis,GSW,Warriors,Golden State,2026-02-10,03:00,8,"FanDuel Sports Network - Southeast - Memphis, NBCSBA",95.7 The Game,,
February,0022500769,20260209/OKCLAL,2026-02-09,2026-02-09T19:00:00,2026-02-09T21:00:00,2026-02-09T22:00:00,Crypto.com Arena,Los Angeles,CA,1,10:00 pm ET,OKC,Thunder,Oklahoma City,LAL,Lakers,Los Angeles,2026-02-10,03:00,9,Peacock,"ESPN LA 710/1330 KWKW, WWLS 98.1FM OKC",,Peacock
February,0022500770,20260209/PHIPOR,2026-02-09,2026-02-09T19:00:00,2026-02-09T22:00:00,2026-02-09T22:00:00,Moda Center,Portland,OR,1,10:00 pm ET,PHI,76ers,Philadelphia,POR,Trail Blazers,Portland,2026-02-10,03:00,10,"KUNP, NBC Sports Philadelphia","97.5 The Fanatic, Rip City Radio 620",BlazerVision,
February,0022500771,20260210/INDNYK,2026-02-10,2026-02-10T19:30:00,2026-02-10T19:30:00,2026-02-10T19:30:00,Madison Square Garden,New York,NY,1,7:30 pm ET,IND,Pacers,Indiana,NYK,Knicks,New York,2026-02-11,00:30,1,"FanDuel Sports Network - Indiana, MSG","880 ESPN New York, 93.5/107.5 The Fan",,
